Date,Open,High,Low,Close,Volume
2025-07-07 08:00:00,56938.7,57152.2,56854.05,56909.95,0
2025-07-07 12:00:00,56911.15,57029.5,56838.55,56918.5,0
2025-07-08 08:00:00,56942.55,57258.1,56923.05,57103.45,0
2025-07-08 12:00:00,57108.7,57303.3,57074.3,57240.85,0
2025-07-09 08:00:00,57199.75,57233.45,57037.9,57197.45,0
2025-07-09 12:00:00,57201.9,57290.65,57154.5,57171.6,0
2025-07-10 08:00:00,57339.75,57363.7,57023.85,57058.9,0
2025-07-10 12:00:00,57058.5,57203.35,56886.6,56956.95,0
2025-07-11 08:00:00,56843.45,57091.05,56607.75,56661.25,0
2025-07-11 12:00:00,56660.15,56837.95,56639.45,56712.85,0
2025-07-14 08:00:00,56780.75,56896.3,56597.45,56659.45,0
2025-07-14 12:00:00,56659.9,56830.65,56594.25,56763.6,0
2025-07-15 08:00:00,56709.2,57134.95,56707.8,57054.95,0
2025-07-15 12:00:00,57056.45,57117.1,56908.2,57049.6,0
2025-07-16 08:00:00,57111.25,57175.15,56937.6,57109.95,0
2025-07-16 12:00:00,57113.5,57276.55,57084.15,57108.4,0
2025-07-17 08:00:00,57231.95,57262.85,56914.9,56955.8,0
2025-07-17 12:00:00,56955.5,56960.7,56780.15,56805.1,0
2025-07-18 08:00:00,56524.25,56705.15,56204.85,56275.85,0
2025-07-18 12:00:00,56274.05,56431.95,56237.9,56253.7,0
2025-07-21 08:00:00,56558.9,56827.3,56255.7,56777.9,0
2025-07-21 12:00:00,56776.45,56983.45,56690.7,56916.75,0
2025-07-22 08:00:00,57253.35,57286.15,56807.25,56882.6,0
2025-07-22 12:00:00,56884.7,56969.7,56692.0,56721.75,0
2025-07-23 08:00:00,56918.15,56957.65,56715.8,56939.7,0
2025-07-23 12:00:00,56938.2,57249.0,56934.15,57191.65,0
2025-07-24 08:00:00,57316.6,57316.6,56850.9,56905.95,0
2025-07-24 12:00:00,56905.45,57151.05,56854.15,57033.7,0
2025-07-25 08:00:00,57170.7,57170.7,56526.35,56547.7,0
2025-07-25 12:00:00,56547.35,56610.9,56439.4,56520.45,0
2025-07-28 08:00:00,56215.1,56578.4,56186.85,56361.05,0
2025-07-28 12:00:00,56361.3,56414.15,55997.45,56053.3,0
2025-07-29 08:00:00,55881.8,56148.95,55843.25,56037.2,0
2025-07-29 12:00:00,56040.8,56296.4,55980.95,56230.15,0
2025-07-30 08:00:00,56310.1,56321.15,56064.55,56233.15,0
2025-07-30 12:00:00,56233.5,56292.75,56098.5,56114.6,0
2025-07-31 08:00:00,55728.15,56121.75,55547.35,56091.55,0
2025-07-31 12:00:00,56089.95,56406.2,55906.45,55992.65,0
2025-08-01 08:00:00,55897.15,56097.6,55755.7,55807.2,0
2025-08-01 12:00:00,55808.7,55923.05,55562.1,55636.15,0
2025-08-04 08:00:00,55557.5,55752.45,55437.3,55635.65,0
2025-08-04 12:00:00,55637.7,55721.2,55511.9,55643.95,0
2025-08-05 08:00:00,55545.05,55648.15,55370.2,55492.55,0
2025-08-05 12:00:00,55496.05,55518.95,55202.85,55392.5,0
2025-08-06 08:00:00,55329.8,55507.2,55227.7,55338.65,0
2025-08-06 12:00:00,55337.8,55559.4,55310.4,55422.25,0
2025-08-07 08:00:00,55215.65,55364.7,55076.4,55172.4,0
2025-08-07 12:00:00,55175.0,55614.8,54973.55,55591.35,0
2025-08-08 08:00:00,55609.35,55652.6,55078.6,55114.1,0
2025-08-08 12:00:00,55114.8,55272.25,54905.6,54905.6,0
2025-08-11 08:00:00,54999.35,55319.7,54927.55,55167.85,0
2025-08-11 12:00:00,55169.45,55582.15,55143.15,55423.55,0
2025-08-12 08:00:00,55441.1,55566.7,55188.85,55265.2,0
2025-08-12 12:00:00,55265.6,55408.75,55001.5,55039.35,0
2025-08-13 08:00:00,55340.05,55340.05,55026.95,55099.6,0
2025-08-13 12:00:00,55100.6,55271.9,55073.6,55189.05,0
2025-08-14 08:00:00,55102.55,55472.8,55074.3,55328.65,0
2025-08-14 12:00:00,55331.2,55442.8,55254.9,55318.05,0
2025-08-18 08:00:00,55940.6,56156.3,55711.3,55711.3,0
2025-08-18 12:00:00,55715.75,55845.6,55647.65,55745.55,0
2025-08-19 08:00:00,55622.3,55915.35,55608.15,55905.5,0
2025-08-19 12:00:00,55905.7,55965.55,55724.6,55849.8,0
2025-08-20 08:00:00,55751.5,55812.6,55577.35,55654.75,0
2025-08-20 12:00:00,55654.75,55785.6,55642.9,55702.1,0
2025-08-21 08:00:00,55972.05,55993.65,55720.45,55786.35,0
2025-08-21 12:00:00,55787.35,55894.65,55708.2,55733.9,0
2025-08-22 08:00:00,55669.25,55745.0,55218.35,55314.8,0
2025-08-22 12:00:00,55315.3,55360.2,55102.6,55152.45,0
2025-08-25 08:00:00,55147.75,55306.0,55048.4,55183.2,0
2025-08-25 12:00:00,55183.75,55260.2,55112.1,55161.75,0
2025-08-26 08:00:00,54999.05,55068.9,54478.4,54609.9,0
2025-08-26 12:00:00,54610.05,54643.5,54396.1,54416.45,0
2025-08-28 08:00:00,54256.0,54382.25,53916.1,54188.1,0
2025-08-28 12:00:00,54190.6,54204.9,53768.45,53894.25,0
2025-08-29 08:00:00,53660.35,54086.0,53660.35,53991.65,0
2025-08-29 12:00:00,53990.05,53991.7,53606.45,53692.85,0
2025-09-01 08:00:00,53658.15,53988.25,53658.15,53788.95,0
2025-09-01 12:00:00,53789.05,54035.85,53761.4,53993.4,0
2025-09-02 08:00:00,54038.25,54160.95,53912.2,54016.95,0
2025-09-02 12:00:00,54018.2,54093.8,53578.0,53627.25,0
2025-09-03 08:00:00,53630.75,53866.75,53561.75,53750.95,0
2025-09-03 12:00:00,53749.5,54136.15,53633.95,54071.75,0
2025-09-04 08:00:00,54379.6,54450.55,54132.25,54181.15,0
2025-09-04 12:00:00,54187.15,54273.95,53971.85,54101.1,0
2025-09-05 08:00:00,54308.05,54308.05,53746.2,53800.2,0
2025-09-05 12:00:00,53802.7,54172.45,53719.55,54098.2,0
2025-09-08 08:00:00,54215.4,54329.2,54067.15,54303.8,0
2025-09-08 12:00:00,54302.0,54518.7,54137.1,54222.3,0
2025-09-09 08:00:00,54330.55,54350.65,54079.45,54127.25,0
2025-09-09 12:00:00,54127.45,54291.95,54092.3,54228.2,0
2025-09-10 08:00:00,54554.75,54705.2,54400.0,54596.55,0
2025-09-10 12:00:00,54596.4,54629.35,54432.7,54532.65,0
2025-09-11 08:00:00,54413.05,54649.85,54402.4,54642.5,0
2025-09-11 12:00:00,54645.45,54757.45,54612.8,54644.6,0
2025-09-12 08:00:00,54781.55,54852.25,54580.35,54799.3,0
2025-09-12 12:00:00,54797.35,54839.9,54749.85,54784.55,0
2025-09-15 08:00:00,54884.05,55018.7,54808.1,54987.6,0
2025-09-15 12:00:00,54988.7,55006.25,54807.5,54852.7,0
2025-09-16 08:00:00,54778.4,55159.1,54777.75,55109.35,0
2025-09-16 12:00:00,55102.25,55185.45,55026.35,55166.8,0
2025-09-17 08:00:00,55158.35,55397.05,55146.55,55368.25,0
2025-09-17 12:00:00,55368.15,55540.75,55354.9,55480.85,0
2025-09-18 08:00:00,55797.1,55835.25,55611.55,55752.0,0
2025-09-18 12:00:00,55754.45,55777.7,55490.9,55716.5,0
2025-09-19 08:00:00,55647.95,55688.75,55380.65,55444.25,0
2025-09-19 12:00:00,55448.0,55536.1,55355.3,55494.1,0
2025-09-22 08:00:00,55429.3,55666.35,55315.55,55541.15,0
2025-09-22 12:00:00,55540.95,55619.5,55215.6,55296.0,0
2025-09-23 08:00:00,55248.7,55367.6,55159.0,55317.9,0
2025-09-23 12:00:00,55317.05,55662.0,55303.05,55555.65,0
2025-09-24 08:00:00,55387.1,55511.1,55051.85,55156.7,0
2025-09-24 12:00:00,55156.15,55283.75,55040.45,55131.4,0
2025-09-25 08:00:00,55061.65,55252.8,54993.55,55069.55,0
2025-09-25 12:00:00,55066.25,55276.65,54903.3,54950.95,0
2025-09-26 08:00:00,54797.9,54897.0,54499.95,54560.55,0
2025-09-26 12:00:00,54560.4,54630.05,54310.95,54417.35,0
2025-09-29 08:00:00,54460.4,54686.05,54253.75,54279.5,0
2025-09-29 12:00:00,54279.5,54672.05,54226.6,54541.35,0
2025-09-30 08:00:00,54705.5,54793.05,54502.95,54670.3,0
2025-09-30 12:00:00,54670.65,54771.15,54538.5,54679.75,0
2025-10-01 08:00:00,54653.9,55394.35,54582.55,55290.4,0
2025-10-01 12:00:00,55289.9,55406.75,55179.75,55386.65,0
2025-10-03 08:00:00,55182.6,55579.85,55177.0,55531.65,0
2025-10-03 12:00:00,55529.65,55616.45,55452.85,55596.95,0
2025-10-06 08:00:00,55834.7,56066.85,55727.25,56065.8,0
2025-10-06 12:00:00,56065.35,56164.2,55980.9,56087.6,0
2025-10-07 08:00:00,56126.4,56431.35,56025.05,56391.75,0
2025-10-07 12:00:00,56392.35,56502.45,56159.85,56215.6,0
2025-10-08 08:00:00,56098.5,56303.6,55821.0,55947.75,0
2025-10-08 12:00:00,55944.8,56225.8,55858.2,55938.35,0
2025-10-09 08:00:00,55979.0,56286.25,55843.9,56167.35,0
2025-10-09 12:00:00,56165.5,56276.5,56035.85,56124.35,0
2025-10-10 08:00:00,56168.6,56661.35,56152.45,56617.15,0
2025-10-10 12:00:00,56617.9,56760.25,56560.25,56620.95,0
2025-10-13 08:00:00,56337.05,56683.3,56327.4,56600.25,0
2025-10-13 12:00:00,56593.35,56770.9,56537.15,56633.1,0
2025-10-14 08:00:00,56598.65,56721.3,56268.95,56294.05,0
2025-10-14 12:00:00,56293.2,56552.15,56230.15,56478.55,0
2025-10-15 08:00:00,56528.95,56845.75,56491.85,56726.5,0
2025-10-15 12:00:00,56727.2,56922.7,56695.35,56818.5,0
2025-10-16 08:00:00,57139.95,57225.35,56994.7,57134.25,0
2025-10-16 12:00:00,57131.8,57525.8,57129.95,57373.25,0
2025-10-17 08:00:00,57362.9,57828.3,57238.65,57763.4,0
2025-10-17 12:00:00,57765.85,57830.2,57396.8,57724.0,0
2025-10-20 08:00:00,57872.85,58242.5,57872.85,58192.6,0
2025-10-20 12:00:00,58193.75,58261.55,57948.85,58051.0,0
2025-10-21 12:00:00,58063.4,58155.55,57887.2,57908.5,0
2025-10-23 08:00:00,58314.55,58560.6,58157.6,58532.5,0
2025-10-23 12:00:00,58526.75,58577.5,57951.45,57981.1,0
2025-10-24 08:00:00,58172.75,58232.9,57735.0,57861.6,0
2025-10-24 12:00:00,57861.6,57915.15,57482.05,57741.5,0
2025-10-27 08:00:00,57796.45,58195.95,57652.75,58161.3,0
2025-10-27 12:00:00,58163.1,58224.55,57951.2,58198.6,0
2025-10-28 08:00:00,58006.55,58313.8,57770.35,57914.55,0
2025-10-28 12:00:00,57915.7,58305.0,57870.2,58271.55,0
2025-10-29 08:00:00,58316.25,58372.55,58087.05,58307.4,0
2025-10-29 12:00:00,58310.1,58469.9,58269.05,58399.05,0
2025-10-30 08:00:00,58152.05,58331.2,58075.55,58159.85,0
2025-10-30 12:00:00,58159.9,58282.55,57999.2,58067.1,0
2025-10-31 08:00:00,57942.45,58254.95,57656.95,57955.65,0
2025-10-31 12:00:00,57954.4,58002.5,57743.15,57778.75,0
2025-11-03 08:00:00,57726.85,58125.95,57718.4,58042.3,0
2025-11-03 12:00:00,58040.4,58247.55,57984.45,58116.25,0
2025-11-04 08:00:00,57966.65,58119.65,57803.1,57897.25,0
2025-11-04 12:00:00,57900.2,57983.7,57732.95,57778.95,0
2025-11-06 08:00:00,57714.8,57945.05,57521.95,57596.05,0
2025-11-06 12:00:00,57597.3,57762.55,57521.0,57573.95,0
2025-11-07 08:00:00,57391.4,57816.15,57157.85,57692.7,0
2025-11-07 12:00:00,57695.95,58001.35,57679.3,57907.7,0
2025-11-10 08:00:00,57846.2,58077.8,57846.2,57986.05,0
2025-11-10 12:00:00,57991.45,58097.2,57877.45,57893.0,0
2025-11-11 08:00:00,57962.3,58082.45,57594.25,57850.95,0
2025-11-11 12:00:00,57851.25,58187.35,57832.3,58148.05,0
2025-11-12 08:00:00,58505.35,58507.7,58223.0,58322.3,0
2025-11-12 12:00:00,58322.2,58471.6,58171.85,58211.45,0
2025-11-13 08:00:00,58158.75,58615.45,58127.1,58595.45,0
2025-11-13 12:00:00,58598.4,58615.95,58336.0,58387.5,0
2025-11-14 08:00:00,58050.0,58467.9,58050.0,58341.5,0
2025-11-14 12:00:00,58342.25,58590.15,58152.95,58535.9,0
2025-11-17 08:00:00,58696.3,58979.85,58605.3,58921.95,0
2025-11-17 12:00:00,58928.75,59001.55,58899.55,58969.2,0
2025-11-18 08:00:00,58990.5,59049.1,58850.7,58985.6,0
2025-11-18 12:00:00,58985.8,59103.65,58798.9,58835.85,0
2025-11-19 08:00:00,58908.15,58952.75,58688.55,58925.9,0
2025-11-19 12:00:00,58926.7,59264.25,58913.5,59207.95,0
2025-11-20 08:00:00,59308.2,59326.65,59125.25,59231.1,0
2025-11-20 12:00:00,59230.75,59440.1,59186.6,59343.9,0
2025-11-21 08:00:00,59116.7,59232.15,58833.15,59027.5,0
2025-11-21 12:00:00,59032.0,59149.95,58823.65,58851.85,0
2025-11-24 08:00:00,58996.9,59309.9,58891.8,59206.45,0
2025-11-24 12:00:00,59204.35,59279.25,58649.5,58731.05,0
2025-11-25 08:00:00,58925.65,59063.5,58746.2,58958.3,0
2025-11-25 12:00:00,58962.95,59166.15,58747.25,58810.8,0
2025-11-26 08:00:00,58783.05,59515.3,58783.05,59465.5,0
2025-11-26 12:00:00,59465.95,59554.95,59426.0,59527.15,0
2025-11-27 08:00:00,59605.3,59866.6,59549.45,59758.2,0
2025-11-27 12:00:00,59758.2,59850.15,59523.0,59764.15,0
2025-11-28 08:00:00,59758.7,59897.5,59598.95,59794.6,0
2025-11-28 12:00:00,59794.05,59836.85,59712.15,59730.3,0
2025-12-01 08:00:00,60102.05,60114.3,59674.9,59702.45,0
2025-12-01 12:00:00,59700.55,59815.95,59527.6,59697.15,0
2025-12-02 08:00:00,59354.2,59656.55,59304.25,59504.25,0
2025-12-02 12:00:00,59505.85,59586.8,59251.95,59347.1,0
2025-12-03 08:00:00,59158.7,59356.75,58925.7,59158.5,0
2025-12-03 12:00:00,59156.55,59414.9,59007.55,59333.15,0
2025-12-04 08:00:00,59287.1,59548.7,59180.35,59250.25,0
2025-12-04 12:00:00,59252.55,59335.55,59062.15,59272.7,0
2025-12-05 08:00:00,59133.2,59679.35,59106.55,59520.15,0
2025-12-05 12:00:00,59518.35,59806.6,59505.0,59735.8,0
2025-12-08 08:00:00,59672.05,59713.15,59346.4,59363.25,0
2025-12-08 12:00:00,59371.5,59406.0,59030.6,59147.3,0
2025-12-09 08:00:00,58918.85,59284.85,58878.45,59249.7,0
2025-12-09 12:00:00,59249.7,59358.25,59158.9,59212.1,0
2025-12-10 08:00:00,59281.55,59440.9,58973.75,59046.5,0
2025-12-10 12:00:00,59048.85,59091.9,58853.9,58938.3,0
2025-12-11 08:00:00,58966.2,59417.4,58799.9,59345.5,0
2025-12-11 12:00:00,59352.1,59423.35,59135.65,59204.6,0
2025-12-12 08:00:00,59401.5,59545.7,59224.85,59382.25,0
2025-12-12 12:00:00,59382.25,59439.95,59310.6,59396.8,0
2025-12-15 08:00:00,59053.7,59516.85,59052.3,59459.75,0
2025-12-15 12:00:00,59462.6,59533.0,59405.9,59444.7,0
2025-12-16 08:00:00,59288.75,59335.25,58983.05,59072.85,0
2025-12-16 12:00:00,59072.1,59169.0,58966.35,59010.6,0
2025-12-17 08:00:00,59072.8,59127.2,58864.4,58899.55,0
2025-12-17 12:00:00,58901.0,58988.85,58801.4,58961.5,0
2025-12-18 08:00:00,58712.7,59176.2,58712.7,59166.65,0
2025-12-18 12:00:00,59166.3,59211.0,58877.55,58905.25,0
2025-12-19 08:00:00,59047.4,59134.75,58897.5,59007.5,0
2025-12-19 12:00:00,59010.15,59140.55,58924.5,59046.8,0
2025-12-22 08:00:00,59224.75,59371.2,59155.5,59281.2,0
2025-12-22 12:00:00,59280.2,59339.45,59183.6,59284.1,0
2025-12-23 08:00:00,59334.35,59402.35,59216.75,59275.0,0
2025-12-23 12:00:00,59278.2,59370.15,59230.4,59276.55,0
2025-12-24 08:00:00,59322.95,59478.15,59251.65,59343.35,0
2025-12-24 12:00:00,59336.8,59364.5,59118.25,59135.4,0
2025-12-26 08:00:00,59092.85,59180.65,58994.05,59045.85,0
2025-12-26 12:00:00,59043.8,59073.3,58947.05,58994.45,0
2025-12-29 08:00:00,59007.05,59140.4,58810.35,58841.95,0
2025-12-29 12:00:00,58838.1,58997.1,58809.55,58953.95,0
2025-12-30 08:00:00,58885.95,59076.1,58737.6,58872.05,0
2025-12-30 12:00:00,58875.45,59272.7,58864.8,59253.95,0
2025-12-31 08:00:00,59194.6,59527.1,59187.1,59514.6,0
2025-12-31 12:00:00,59514.1,59766.2,59511.1,59619.35,0
2026-01-01 08:00:00,59674.8,59743.2,59569.65,59628.0,0
